label,video_name,frame,CA,SA,KA
ERGONOMIC,ERGO_001.mp4,0,2.37,86.8,90.83
ERGONOMIC,ERGO_001.mp4,1,7.94,89.82,98.12
ERGONOMIC,ERGO_001.mp4,2,6.29,83.37,102.92
ERGONOMIC,ERGO_001.mp4,3,4.61,81.87,102.74
ERGONOMIC,ERGO_001.mp4,4,2.97,81.9,95.13
ERGONOMIC,ERGO_001.mp4,5,19.54,81.38,79.08
ERGONOMIC,ERGO_001.mp4,6,22.2,76.5,81.31
ERGONOMIC,ERGO_001.mp4,7,13.5,72.94,93.57
ERGONOMIC,ERGO_001.mp4,8,14.16,71.45,94.39
ERGONOMIC,ERGO_001.mp4,9,20.29,73.82,85.89
ERGONOMIC,ERGO_001.mp4,10,21.72,71.73,86.55
ERGONOMIC,ERGO_001.mp4,11,23.2,72.77,84.03
ERGONOMIC,ERGO_001.mp4,12,23.81,74.17,82.02
ERGONOMIC,ERGO_001.mp4,13,20.92,70.19,88.89
ERGONOMIC,ERGO_001.mp4,14,23.69,69.23,87.08
ERGONOMIC,ERGO_001.mp4,15,25.8,66.54,87.66
ERGONOMIC,ERGO_001.mp4,16,24.3,66.09,89.6
ERGONOMIC,ERGO_001.mp4,17,25.02,65.15,89.83
ERGONOMIC,ERGO_001.mp4,18,17.1,64.34,98.56
ERGONOMIC,ERGO_001.mp4,19,20.96,63.68,95.36
ERGONOMIC,ERGO_001.mp4,20,23.91,62.77,93.32
ERGONOMIC,ERGO_001.mp4,21,25.56,65.03,89.41
ERGONOMIC,ERGO_001.mp4,22,31.78,67.1,81.12
ERGONOMIC,ERGO_001.mp4,23,38.49,64.68,76.83
ERGONOMIC,ERGO_001.mp4,24,38.82,66.22,74.96
ERGONOMIC,ERGO_001.mp4,25,39.07,63.27,77.66
ERGONOMIC,ERGO_001.mp4,26,38.82,64.72,76.46
ERGONOMIC,ERGO_001.mp4,27,34.35,65.54,80.1
ERGONOMIC,ERGO_001.mp4,28,34.18,65.48,80.34
ERGONOMIC,ERGO_001.mp4,29,34.51,65.74,79.75
ERGONOMIC,ERGO_001.mp4,30,41.68,65.45,72.88
ERGONOMIC,ERGO_001.mp4,31,40.38,65.41,74.2
ERGONOMIC,ERGO_001.mp4,32,37.92,62.52,79.56
ERGONOMIC,ERGO_001.mp4,33,37.75,61.61,80.64
ERGONOMIC,ERGO_001.mp4,34,43.8,58.41,77.8
ERGONOMIC,ERGO_001.mp4,35,43.39,57.2,79.41
ERGONOMIC,ERGO_001.mp4,36,55.01,55.09,69.9
ERGONOMIC,ERGO_001.mp4,37,55.12,54.85,70.02
ERGONOMIC,ERGO_001.mp4,38,47.9,54.7,77.4
ERGONOMIC,ERGO_001.mp4,39,41.03,54.81,84.16
ERGONOMIC,ERGO_001.mp4,40,34.2,55.54,90.26
ERGONOMIC,ERGO_001.mp4,41,32.85,56.31,90.85
ERGONOMIC,ERGO_001.mp4,42,33.69,57.87,88.44
ERGONOMIC,ERGO_001.mp4,43,34.33,59.6,86.07
ERGONOMIC,ERGO_001.mp4,44,40.71,58.62,80.67
ERGONOMIC,ERGO_001.mp4,45,41.09,57.56,81.35
ERGONOMIC,ERGO_001.mp4,46,40.12,57.04,82.83
ERGONOMIC,ERGO_001.mp4,47,39.68,56.76,83.57
ERGONOMIC,ERGO_001.mp4,48,34.48,55.76,89.76
ERGONOMIC,ERGO_001.mp4,49,37.22,56.15,86.64
